---
title: Model Properties Table
hide-toc: true
---
# Model Properties Table

also see the [interactive model table](../_static/model_properties_table_interactive.html)
| name.default_alias                    | name.huggingface                                                                                                            | n_params.as_str   |   n_params.as_int |   cfg.n_params |   cfg.n_layers |   cfg.n_heads |   cfg.d_model |   cfg.d_vocab | cfg.act_fn        | cfg.positional_embedding_type   | cfg.parallel_attn_mlp   | cfg.original_architecture      | cfg.normalization_type   | tokenizer.name                              | tokenizer.class         | tokenizer.vocab_size   | tokenizer.vocab_hash         |
|:--------------------------------------|:----------------------------------------------------------------------------------------------------------------------------|:------------------|------------------:|---------------:|---------------:|--------------:|--------------:|--------------:|:------------------|:--------------------------------|:------------------------|:-------------------------------|:-------------------------|:--------------------------------------------|:------------------------|:-----------------------|:-----------------------------|
| gpt2-small                            | [gpt2](https://huggingface.co/gpt2)                                                                                         | 85M               |          84934656 |       84934656 |             12 |            12 |           768 |         50257 | gelu_new          | standard                        | False                   | GPT2LMHeadModel                | LN                       | gpt2                                        | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| gpt2-medium                           | [gpt2-medium](https://huggingface.co/gpt2-medium)                                                                           | 302M              |         301989888 |      301989888 |             24 |            16 |          1024 |         50257 | gelu_new          | standard                        | False                   | GPT2LMHeadModel                | LN                       | gpt2-medium                                 | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| gpt2-large                            | [gpt2-large](https://huggingface.co/gpt2-large)                                                                             | 708M              |         707788800 |      707788800 |             36 |            20 |          1280 |         50257 | gelu_new          | standard                        | False                   | GPT2LMHeadModel                | LN                       | gpt2-large                                  | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| gpt2-xl                               | [gpt2-xl](https://huggingface.co/gpt2-xl)                                                                                   | 1.5B              |        1474560000 |     1474560000 |             48 |            25 |          1600 |         50257 | gelu_new          | standard                        | False                   | GPT2LMHeadModel                | LN                       | gpt2-xl                                     | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| distillgpt2                           | [distilgpt2](https://huggingface.co/distilgpt2)                                                                             | 42M               |          42467328 |       42467328 |              6 |            12 |           768 |         50257 | gelu_new          | standard                        | False                   | GPT2LMHeadModel                | LN                       | distilgpt2                                  | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| opt-125m                              | [facebook/opt-125m](https://huggingface.co/facebook/opt-125m)                                                               | 85M               |          84934656 |       84934656 |             12 |            12 |           768 |         50272 | relu              | standard                        | False                   | OPTForCausalLM                 | LN                       | facebook/opt-125m                           | GPT2TokenizerFast       | 50265.0                | f1FIzqnRiMYzke1CU0hp8TDxq7k= |
| opt-1.3b                              | [facebook/opt-1.3b](https://huggingface.co/facebook/opt-1.3b)                                                               | 1.2B              |        1207959552 |     1207959552 |             24 |            32 |          2048 |         50272 | relu              | standard                        | False                   | OPTForCausalLM                 | LN                       | facebook/opt-1.3b                           | GPT2TokenizerFast       | 50265.0                | f1FIzqnRiMYzke1CU0hp8TDxq7k= |
| opt-2.7b                              | [facebook/opt-2.7b](https://huggingface.co/facebook/opt-2.7b)                                                               | 2.5B              |        2516582400 |     2516582400 |             32 |            32 |          2560 |         50272 | relu              | standard                        | False                   | OPTForCausalLM                 | LN                       | facebook/opt-2.7b                           | GPT2TokenizerFast       | 50265.0                | f1FIzqnRiMYzke1CU0hp8TDxq7k= |
| opt-6.7b                              | [facebook/opt-6.7b](https://huggingface.co/facebook/opt-6.7b)                                                               | 6.4B              |        6442450944 |     6442450944 |             32 |            32 |          4096 |         50272 | relu              | standard                        | False                   | OPTForCausalLM                 | LN                       | facebook/opt-6.7b                           | GPT2TokenizerFast       | 50265.0                | f1FIzqnRiMYzke1CU0hp8TDxq7k= |
